"MAT-14100",17.875889687500003
"MAT-14101",13.074575555555557
"MAT-14102",11.04546263888889
"MAT-14200",14.372180833333337
"MAT-14201",9.332366736111112
"MAT-14300",13.432037743055558
"ECO-11104",4.812500000000001
"ECO-11221",3.7500000000000004
"ECO-12102",6.920546041666667
"EGN-17121",8.958513125
"ACT-15351",6.8578125000000005
"ACT-15352",3.7500000000000004
"ACT-15353",3.7500000000000004
"ACT-15354",3.7500000000000004
"ACT-22305",9.639529583333335
"ACT-22306",6.937500000000001
"ADM-12107",3.7500000000000004
"ADM-15515",3.7500000000000004
"COM-11302",5.187577847222223
"COM-16301",5.869348680555556
"CON-10100",7.309375000000001
"CON-13100",3.7500000000000004
"ECO-11101",17.535381458333337
"ECO-11103",7.840625000000001
"MAT-14301",11.730906180555557
"MAT-14310",5.187577847222223
"MAT-14400",5.264062500000001
"EST-14102",17.4463634375
"EST-14103",11.771875000000001
"ACT-11302",5.343750000000001
"ACT-11303",5.343750000000001
"ACT-13307",3.7500000000000004
"ACT-15350",12.278825625
"EGN-17122",7.0316003125
"EGN-17123",8.2921875
"EGN-17141",11.5737878125
"EGN-17142",5.343750000000001
"EGN-17161",5.343750000000001
"EGN-17162",3.7500000000000004
"EST-14101",19.184519583333337
"ACT-11300",11.5737878125
"ACT-11301",11.4796875
"EST-14107",5.343750000000001
"EST-24104",8.267888125
"EST-24105",5.343750000000001
"MAT-14001",33.07841416666667